# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d33-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d33-x01-y01
XLabel=$r$ 
RatioPlotReference=/ATLAS_2019_I1740909/d33-x01-y01
Title=Inclusive jets, $700 < p_{\textrm{T}}^{\textrm{jet}} < 800$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d33-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d33-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d33-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d33-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	9.877770e+01	2.882857e+00	3.000813e+00
2.000000e-02	4.000000e-02	2.669330e+01	4.915033e-01	5.424090e-01
4.000000e-02	6.000000e-02	1.204480e+01	1.504312e-01	1.845154e-01
6.000000e-02	8.000000e-02	6.842690e+00	8.498968e-02	1.043118e-01
8.000000e-02	1.000000e-01	4.409240e+00	5.209150e-02	6.461452e-02
1.000000e-01	1.200000e-01	3.063800e+00	2.189536e-02	3.498157e-02
1.200000e-01	1.400000e-01	2.247420e+00	1.640471e-02	2.536950e-02
1.400000e-01	1.600000e-01	1.712310e+00	1.260245e-02	1.966201e-02
1.600000e-01	1.800000e-01	1.345380e+00	1.002815e-02	1.581354e-02
1.800000e-01	2.000000e-01	1.082740e+00	8.427322e-03	1.297478e-02
2.000000e-01	2.200000e-01	8.864330e-01	7.083107e-03	1.064388e-02
2.200000e-01	2.400000e-01	7.358360e-01	5.268046e-03	8.576161e-03
2.400000e-01	2.600000e-01	6.183650e-01	3.548209e-03	6.660278e-03
2.600000e-01	2.800000e-01	5.253520e-01	2.689300e-03	5.284470e-03
2.800000e-01	3.000000e-01	4.517260e-01	2.238042e-03	4.495673e-03
3.000000e-01	3.200000e-01	3.916490e-01	1.982612e-03	4.087908e-03
3.200000e-01	3.400000e-01	3.417180e-01	1.595713e-03	3.564121e-03
3.400000e-01	3.600000e-01	3.028750e-01	1.864925e-03	3.408926e-03
3.600000e-01	3.800000e-01	2.749580e-01	5.303227e-03	5.893611e-03
3.800000e-01	4.000000e-01	2.345180e-01	6.248784e-03	6.603718e-03
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d33-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d33-x01-y01
ScaledBy=1.00000000000000000e+00
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-02	4.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-02	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	1.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	2.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e-01	2.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e-01	3.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e-01	3.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e-01	3.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

