# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d49-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d49-x01-y01
XLabel=$\zeta$ 
RatioPlotReference=/ATLAS_2019_I1740909/d49-x01-y01
Title=Inclusive jets, $900 < p_{\textrm{T}}^{\textrm{jet}} < 1000$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d49-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d49-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogX=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d49-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d49-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
4.510930e-04	6.766390e-04	8.057700e-01	3.267047e-02	3.357331e-02
6.766390e-04	1.014960e-03	1.712200e+00	5.686152e-02	5.926642e-02
1.014960e-03	1.522440e-03	2.230740e+00	3.262601e-02	3.920978e-02
1.522440e-03	2.283660e-03	2.755320e+00	2.996091e-02	3.950216e-02
2.283660e-03	3.425490e-03	3.220640e+00	4.050682e-02	5.204867e-02
3.425490e-03	5.138230e-03	3.587960e+00	3.810616e-02	5.139543e-02
5.138230e-03	7.707350e-03	3.806880e+00	4.846854e-02	5.966783e-02
7.707350e-03	1.156100e-02	3.838660e+00	5.896162e-02	6.751628e-02
1.156100e-02	1.734150e-02	3.676810e+00	5.534181e-02	6.445174e-02
1.734150e-02	2.601230e-02	3.362100e+00	3.830544e-02	4.732476e-02
2.601230e-02	3.901840e-02	2.911410e+00	2.704303e-02	3.660470e-02
3.901840e-02	5.852770e-02	2.406750e+00	2.202333e-02	2.964745e-02
5.852770e-02	8.779150e-02	1.864090e+00	1.678244e-02	2.362047e-02
8.779145e-02	1.316869e-01	1.358550e+00	1.468339e-02	1.897560e-02
1.316870e-01	1.975310e-01	9.014270e-01	1.284295e-02	1.620776e-02
1.975310e-01	2.962960e-01	5.305350e-01	9.641461e-03	1.173966e-02
2.962960e-01	4.444440e-01	2.649480e-01	6.039849e-03	7.250818e-03
4.444440e-01	6.666670e-01	1.008490e-01	3.011182e-03	3.476312e-03
6.666670e-01	1.000000e+00	1.715020e-02	7.057054e-04	7.746655e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d49-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d49-x01-y01
ScaledBy=1.00000000000000000e+00
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
4.510930e-04	6.766390e-04	0.000000e+00	0.000000e+00	0.000000e+00
6.766390e-04	1.014960e-03	0.000000e+00	0.000000e+00	0.000000e+00
1.014960e-03	1.522440e-03	0.000000e+00	0.000000e+00	0.000000e+00
1.522440e-03	2.283660e-03	0.000000e+00	0.000000e+00	0.000000e+00
2.283660e-03	3.425490e-03	0.000000e+00	0.000000e+00	0.000000e+00
3.425490e-03	5.138230e-03	0.000000e+00	0.000000e+00	0.000000e+00
5.138230e-03	7.707350e-03	0.000000e+00	0.000000e+00	0.000000e+00
7.707350e-03	1.156100e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.156100e-02	1.734150e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.734150e-02	2.601230e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.601230e-02	3.901840e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.901840e-02	5.852770e-02	0.000000e+00	0.000000e+00	0.000000e+00
5.852770e-02	8.779150e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.779145e-02	1.316869e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.316870e-01	1.975310e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.975310e-01	2.962960e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.962960e-01	4.444440e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.444440e-01	6.666670e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.666670e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

