# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d165-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d165-x01-y01
XLabel=$\zeta$ 
RatioPlotReference=/ATLAS_2019_I1740909/d165-x01-y01
Title=Central jets, $1600 < p_{\textrm{T}}^{\textrm{jet}} < 2000$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d165-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d165-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogX=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d165-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d165-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.004860e-04	3.007290e-04	6.525510e-02	4.335079e-03	4.362068e-03
3.007290e-04	4.510930e-04	6.798890e-01	3.933553e-02	3.996868e-02
4.510930e-04	6.766390e-04	9.250880e-01	3.987209e-02	4.121665e-02
6.766390e-04	1.014960e-03	1.198350e+00	2.632799e-02	2.992056e-02
1.014960e-03	1.522440e-03	1.456480e+00	2.781118e-02	3.370200e-02
1.522440e-03	2.283660e-03	1.697870e+00	3.249291e-02	3.824308e-02
2.283660e-03	3.425490e-03	1.857000e+00	3.548375e-02	4.253916e-02
3.425490e-03	5.138230e-03	2.018860e+00	4.661065e-02	5.238986e-02
5.138230e-03	7.707350e-03	2.029020e+00	4.991581e-02	5.520856e-02
7.707350e-03	1.156100e-02	1.973800e+00	4.814853e-02	5.318415e-02
1.156100e-02	1.734150e-02	1.827160e+00	4.123210e-02	4.613949e-02
1.734150e-02	2.601230e-02	1.600710e+00	3.429891e-02	3.833915e-02
2.601230e-02	3.901840e-02	1.387390e+00	3.029432e-02	3.347256e-02
3.901840e-02	5.852770e-02	1.128330e+00	2.391935e-02	2.653805e-02
5.852770e-02	8.779150e-02	8.832030e-01	1.960619e-02	2.149315e-02
8.779145e-02	1.316869e-01	6.497600e-01	1.612383e-02	1.726384e-02
1.316870e-01	1.975310e-01	4.383010e-01	1.217180e-02	1.309018e-02
1.975310e-01	2.962960e-01	2.658130e-01	7.684566e-03	8.296992e-03
2.962960e-01	4.444440e-01	1.399750e-01	4.460916e-03	4.748778e-03
4.444440e-01	6.666670e-01	5.423750e-02	2.409764e-03	2.502892e-03
6.666670e-01	1.000000e+00	9.145820e-03	6.083485e-04	6.216708e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d165-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d165-x01-y01
ScaledBy=1.00000000000000000e+00
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
2.004860e-04	3.007290e-04	0.000000e+00	0.000000e+00	0.000000e+00
3.007290e-04	4.510930e-04	0.000000e+00	0.000000e+00	0.000000e+00
4.510930e-04	6.766390e-04	0.000000e+00	0.000000e+00	0.000000e+00
6.766390e-04	1.014960e-03	0.000000e+00	0.000000e+00	0.000000e+00
1.014960e-03	1.522440e-03	0.000000e+00	0.000000e+00	0.000000e+00
1.522440e-03	2.283660e-03	0.000000e+00	0.000000e+00	0.000000e+00
2.283660e-03	3.425490e-03	0.000000e+00	0.000000e+00	0.000000e+00
3.425490e-03	5.138230e-03	0.000000e+00	0.000000e+00	0.000000e+00
5.138230e-03	7.707350e-03	0.000000e+00	0.000000e+00	0.000000e+00
7.707350e-03	1.156100e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.156100e-02	1.734150e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.734150e-02	2.601230e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.601230e-02	3.901840e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.901840e-02	5.852770e-02	0.000000e+00	0.000000e+00	0.000000e+00
5.852770e-02	8.779150e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.779145e-02	1.316869e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.316870e-01	1.975310e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.975310e-01	2.962960e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.962960e-01	4.444440e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.444440e-01	6.666670e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.666670e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

