# BEGIN PLOT
XLabel=$\ln (R/\Delta R)$
YMax=5.96
XMax=4.33
Title=$\frac{1}{N_{jets}}\frac{d^{2} N_{emissions}}{d\ln (R/\Delta R) d\ln (1/z)}$
YLabel=$\ln (1/z)$
LogY=0
# END PLOT

# BEGIN HISTO2D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1790256/d01-x01-y01
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1790256/d01-x01-y01
ScaledBy=1.00000000000000000e+00
Title=mg5py8_1
# xlow	 xhigh	 ylow	 yhigh	 val	 errminus	 errplus
6.666670e-01	1.000000e+00	1.524920e+00	1.802180e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.666670e-01	1.000000e+00	1.802180e+00	2.079440e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.666670e-01	1.000000e+00	2.079440e+00	2.356700e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.666670e-01	1.000000e+00	2.356700e+00	2.633960e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.666670e-01	1.000000e+00	2.633960e+00	2.911220e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.666670e-01	1.000000e+00	2.911220e+00	3.188480e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.666670e-01	1.000000e+00	3.188480e+00	3.465740e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.666670e-01	1.000000e+00	3.465740e+00	3.742990e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.666670e-01	1.000000e+00	3.742990e+00	4.020250e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.666670e-01	1.000000e+00	4.020250e+00	4.297510e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.666670e-01	1.000000e+00	4.297510e+00	4.574770e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.666670e-01	1.000000e+00	4.574770e+00	4.852030e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.666670e-01	1.000000e+00	4.852030e+00	5.129290e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.666670e-01	1.000000e+00	5.129290e+00	5.406550e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.666670e-01	1.000000e+00	5.406550e+00	5.683810e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.666670e-01	1.000000e+00	5.683810e+00	5.961070e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.333330e+00	6.931470e-01	9.704060e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.333330e+00	9.704060e-01	1.247660e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.333330e+00	1.247660e+00	1.524920e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.333330e+00	1.524920e+00	1.802180e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.333330e+00	1.802180e+00	2.079440e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.333330e+00	2.079440e+00	2.356700e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.333330e+00	2.356700e+00	2.633960e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.333330e+00	2.633960e+00	2.911220e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.333330e+00	2.911220e+00	3.188480e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.333330e+00	3.188480e+00	3.465740e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.333330e+00	3.465740e+00	3.742990e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.333330e+00	3.742990e+00	4.020250e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.333330e+00	4.020250e+00	4.297510e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.333330e+00	4.297510e+00	4.574770e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.333330e+00	4.574770e+00	4.852030e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.333330e+00	4.852030e+00	5.129290e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.333330e+00	5.129290e+00	5.406550e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.333330e+00	5.406550e+00	5.683810e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.333330e+00	5.683810e+00	5.961070e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.333330e+00	1.666670e+00	6.931470e-01	9.704060e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.333330e+00	1.666670e+00	9.704060e-01	1.247660e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.333330e+00	1.666670e+00	1.247660e+00	1.524920e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.333330e+00	1.666670e+00	1.524920e+00	1.802180e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.333330e+00	1.666670e+00	1.802180e+00	2.079440e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.333330e+00	1.666670e+00	2.079440e+00	2.356700e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.333330e+00	1.666670e+00	2.356700e+00	2.633960e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.333330e+00	1.666670e+00	2.633960e+00	2.911220e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.333330e+00	1.666670e+00	2.911220e+00	3.188480e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.333330e+00	1.666670e+00	3.188480e+00	3.465740e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.333330e+00	1.666670e+00	3.465740e+00	3.742990e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.333330e+00	1.666670e+00	3.742990e+00	4.020250e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.333330e+00	1.666670e+00	4.020250e+00	4.297510e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.333330e+00	1.666670e+00	4.297510e+00	4.574770e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.333330e+00	1.666670e+00	4.574770e+00	4.852030e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.333330e+00	1.666670e+00	4.852030e+00	5.129290e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.333330e+00	1.666670e+00	5.129290e+00	5.406550e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.333330e+00	1.666670e+00	5.406550e+00	5.683810e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.333330e+00	1.666670e+00	5.683810e+00	5.961070e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.666670e+00	2.000000e+00	6.931470e-01	9.704060e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.666670e+00	2.000000e+00	9.704060e-01	1.247660e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.666670e+00	2.000000e+00	1.247660e+00	1.524920e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.666670e+00	2.000000e+00	1.524920e+00	1.802180e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.666670e+00	2.000000e+00	1.802180e+00	2.079440e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.666670e+00	2.000000e+00	2.079440e+00	2.356700e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.666670e+00	2.000000e+00	2.356700e+00	2.633960e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.666670e+00	2.000000e+00	2.633960e+00	2.911220e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.666670e+00	2.000000e+00	2.911220e+00	3.188480e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.666670e+00	2.000000e+00	3.188480e+00	3.465740e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.666670e+00	2.000000e+00	3.465740e+00	3.742990e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.666670e+00	2.000000e+00	3.742990e+00	4.020250e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.666670e+00	2.000000e+00	4.020250e+00	4.297510e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.666670e+00	2.000000e+00	4.297510e+00	4.574770e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.666670e+00	2.000000e+00	4.574770e+00	4.852030e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.666670e+00	2.000000e+00	4.852030e+00	5.129290e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.666670e+00	2.000000e+00	5.129290e+00	5.406550e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.666670e+00	2.000000e+00	5.406550e+00	5.683810e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.666670e+00	2.000000e+00	5.683810e+00	5.961070e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	2.333330e+00	6.931470e-01	9.704060e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	2.333330e+00	9.704060e-01	1.247660e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	2.333330e+00	1.247660e+00	1.524920e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	2.333330e+00	1.524920e+00	1.802180e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	2.333330e+00	1.802180e+00	2.079440e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	2.333330e+00	2.079440e+00	2.356700e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	2.333330e+00	2.356700e+00	2.633960e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	2.333330e+00	2.633960e+00	2.911220e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	2.333330e+00	2.911220e+00	3.188480e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	2.333330e+00	3.188480e+00	3.465740e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	2.333330e+00	3.465740e+00	3.742990e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	2.333330e+00	3.742990e+00	4.020250e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	2.333330e+00	4.020250e+00	4.297510e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	2.333330e+00	4.297510e+00	4.574770e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	2.333330e+00	4.574770e+00	4.852030e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	2.333330e+00	4.852030e+00	5.129290e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	2.333330e+00	5.129290e+00	5.406550e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	2.333330e+00	5.406550e+00	5.683810e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	2.333330e+00	5.683810e+00	5.961070e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.333330e+00	2.666670e+00	6.931470e-01	9.704060e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.333330e+00	2.666670e+00	9.704060e-01	1.247660e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.333330e+00	2.666670e+00	1.247660e+00	1.524920e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.333330e+00	2.666670e+00	1.524920e+00	1.802180e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.333330e+00	2.666670e+00	1.802180e+00	2.079440e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.333330e+00	2.666670e+00	2.079440e+00	2.356700e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.333330e+00	2.666670e+00	2.356700e+00	2.633960e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.333330e+00	2.666670e+00	2.633960e+00	2.911220e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.333330e+00	2.666670e+00	2.911220e+00	3.188480e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.333330e+00	2.666670e+00	3.188480e+00	3.465740e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.333330e+00	2.666670e+00	3.465740e+00	3.742990e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.333330e+00	2.666670e+00	3.742990e+00	4.020250e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.333330e+00	2.666670e+00	4.020250e+00	4.297510e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.333330e+00	2.666670e+00	4.297510e+00	4.574770e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.333330e+00	2.666670e+00	4.574770e+00	4.852030e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.333330e+00	2.666670e+00	4.852030e+00	5.129290e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.333330e+00	2.666670e+00	5.129290e+00	5.406550e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.333330e+00	2.666670e+00	5.406550e+00	5.683810e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.333330e+00	2.666670e+00	5.683810e+00	5.961070e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.666670e+00	3.000000e+00	6.931470e-01	9.704060e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.666670e+00	3.000000e+00	9.704060e-01	1.247660e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.666670e+00	3.000000e+00	1.247660e+00	1.524920e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.666670e+00	3.000000e+00	1.524920e+00	1.802180e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.666670e+00	3.000000e+00	1.802180e+00	2.079440e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.666670e+00	3.000000e+00	2.079440e+00	2.356700e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.666670e+00	3.000000e+00	2.356700e+00	2.633960e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.666670e+00	3.000000e+00	2.633960e+00	2.911220e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.666670e+00	3.000000e+00	2.911220e+00	3.188480e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.666670e+00	3.000000e+00	3.188480e+00	3.465740e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.666670e+00	3.000000e+00	3.465740e+00	3.742990e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.666670e+00	3.000000e+00	3.742990e+00	4.020250e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.666670e+00	3.000000e+00	4.020250e+00	4.297510e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.666670e+00	3.000000e+00	4.297510e+00	4.574770e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.666670e+00	3.000000e+00	4.574770e+00	4.852030e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.666670e+00	3.000000e+00	4.852030e+00	5.129290e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.666670e+00	3.000000e+00	5.129290e+00	5.406550e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.666670e+00	3.000000e+00	5.406550e+00	5.683810e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.666670e+00	3.000000e+00	5.683810e+00	5.961070e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.333330e+00	6.931470e-01	9.704060e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.333330e+00	9.704060e-01	1.247660e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.333330e+00	1.247660e+00	1.524920e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.333330e+00	1.524920e+00	1.802180e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.333330e+00	1.802180e+00	2.079440e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.333330e+00	2.079440e+00	2.356700e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.333330e+00	2.356700e+00	2.633960e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.333330e+00	2.633960e+00	2.911220e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.333330e+00	2.911220e+00	3.188480e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.333330e+00	3.188480e+00	3.465740e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.333330e+00	3.465740e+00	3.742990e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.333330e+00	3.742990e+00	4.020250e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.333330e+00	4.020250e+00	4.297510e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.333330e+00	4.297510e+00	4.574770e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.333330e+00	4.574770e+00	4.852030e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.333330e+00	4.852030e+00	5.129290e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.333330e+00	5.129290e+00	5.406550e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.333330e+00	5.406550e+00	5.683810e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.333330e+00	5.683810e+00	5.961070e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.333330e+00	3.666670e+00	6.931470e-01	9.704060e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.333330e+00	3.666670e+00	9.704060e-01	1.247660e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.333330e+00	3.666670e+00	1.247660e+00	1.524920e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.333330e+00	3.666670e+00	1.524920e+00	1.802180e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.333330e+00	3.666670e+00	1.802180e+00	2.079440e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.333330e+00	3.666670e+00	2.079440e+00	2.356700e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.333330e+00	3.666670e+00	2.356700e+00	2.633960e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.333330e+00	3.666670e+00	2.633960e+00	2.911220e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.333330e+00	3.666670e+00	2.911220e+00	3.188480e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.333330e+00	3.666670e+00	3.188480e+00	3.465740e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.333330e+00	3.666670e+00	3.465740e+00	3.742990e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.333330e+00	3.666670e+00	3.742990e+00	4.020250e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.333330e+00	3.666670e+00	4.020250e+00	4.297510e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.333330e+00	3.666670e+00	4.297510e+00	4.574770e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.333330e+00	3.666670e+00	4.574770e+00	4.852030e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.333330e+00	3.666670e+00	4.852030e+00	5.129290e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.333330e+00	3.666670e+00	5.129290e+00	5.406550e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.333330e+00	3.666670e+00	5.406550e+00	5.683810e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.333330e+00	3.666670e+00	5.683810e+00	5.961070e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.666670e+00	4.000000e+00	6.931470e-01	9.704060e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.666670e+00	4.000000e+00	9.704060e-01	1.247660e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.666670e+00	4.000000e+00	1.247660e+00	1.524920e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.666670e+00	4.000000e+00	1.524920e+00	1.802180e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.666670e+00	4.000000e+00	1.802180e+00	2.079440e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.666670e+00	4.000000e+00	2.079440e+00	2.356700e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.666670e+00	4.000000e+00	2.356700e+00	2.633960e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.666670e+00	4.000000e+00	2.633960e+00	2.911220e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.666670e+00	4.000000e+00	2.911220e+00	3.188480e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.666670e+00	4.000000e+00	3.188480e+00	3.465740e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.666670e+00	4.000000e+00	3.465740e+00	3.742990e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.666670e+00	4.000000e+00	3.742990e+00	4.020250e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.666670e+00	4.000000e+00	4.020250e+00	4.297510e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.666670e+00	4.000000e+00	4.297510e+00	4.574770e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.666670e+00	4.000000e+00	4.574770e+00	4.852030e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.666670e+00	4.000000e+00	4.852030e+00	5.129290e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.666670e+00	4.000000e+00	5.129290e+00	5.406550e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.666670e+00	4.000000e+00	5.406550e+00	5.683810e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.666670e+00	4.000000e+00	5.683810e+00	5.961070e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.333330e+00	6.931470e-01	9.704060e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.333330e+00	9.704060e-01	1.247660e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.333330e+00	1.247660e+00	1.524920e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.333330e+00	1.524920e+00	1.802180e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.333330e+00	1.802180e+00	2.079440e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.333330e+00	2.079440e+00	2.356700e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.333330e+00	2.356700e+00	2.633960e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.333330e+00	2.633960e+00	2.911220e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.333330e+00	2.911220e+00	3.188480e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.333330e+00	3.188480e+00	3.465740e+00	0.000000e+00	0.000000e+00	0.000000e+00
