# BEGIN PLOT
LegendXPos=0.10
XLabel=$\Delta{R}(\mathrm{jet~1,~jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta{R}(\mathrm{jet~1,~jet~3})$ [pb]
DrawOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jets_dR_13
Title=$\Delta R$ separation between jets
LegendYPos=0.5
Legend=1
LegendOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jets_dR_13
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jets_dR_13
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jets_dR_13
ScaledBy=2.00000000070667569e-05
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	8.000000e-01	1.372306e+06	9.703669e+05	9.703669e+05
8.000000e-01	1.000000e+00	1.372306e+06	9.703669e+05	9.703669e+05
1.000000e+00	1.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+00	1.400000e+00	2.744612e+06	1.372306e+06	1.372306e+06
1.400000e+00	1.600000e+00	2.058459e+06	1.188452e+06	1.188452e+06
1.600000e+00	1.800000e+00	1.372306e+06	9.703669e+05	9.703669e+05
1.800000e+00	2.000000e+00	6.861530e+05	6.861530e+05	6.861530e+05
2.000000e+00	2.200000e+00	2.744612e+06	1.372306e+06	1.372306e+06
2.200000e+00	2.400000e+00	5.489225e+06	1.940734e+06	1.940734e+06
2.400000e+00	2.600000e+00	8.233835e+06	2.376904e+06	2.376904e+06
2.600000e+00	2.800000e+00	1.372306e+07	3.068570e+06	3.068570e+06
2.800000e+00	3.000000e+00	1.166460e+07	2.829081e+06	2.829081e+06
3.000000e+00	3.200000e+00	1.440921e+07	3.144348e+06	3.144348e+06
3.200000e+00	3.400000e+00	7.547685e+06	2.275712e+06	2.275712e+06
3.400000e+00	3.600000e+00	1.440921e+07	3.144348e+06	3.144348e+06
3.600000e+00	3.800000e+00	1.097845e+07	2.744612e+06	2.744612e+06
3.800000e+00	4.000000e+00	5.489225e+06	1.940734e+06	1.940734e+06
4.000000e+00	4.200000e+00	8.233835e+06	2.376904e+06	2.376904e+06
4.200000e+00	4.400000e+00	2.744612e+06	1.372306e+06	1.372306e+06
4.400000e+00	4.600000e+00	2.058459e+06	1.188452e+06	1.188452e+06
4.600000e+00	4.800000e+00	6.175375e+06	2.058459e+06	2.058459e+06
4.800000e+00	5.000000e+00	1.372306e+06	9.703669e+05	9.703669e+05
# END HISTO1D

