# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d120-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d120-x01-y01
XLabel=$p_{\textrm{T}}^{\textrm{rel}}$ (positive values only)
RatioPlotReference=/ATLAS_2019_I1740909/d120-x01-y01
Title=Forward jets, $1000 < p_{\textrm{T}}^{\textrm{jet}} < 1200$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d120-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d120-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d120-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d120-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e-01	2.771810e+00	4.288180e-02	4.967764e-02
1.500000e-01	3.000000e-01	1.967970e+00	2.522732e-02	3.173287e-02
3.000000e-01	4.500000e-01	1.229620e+00	1.699930e-02	2.074053e-02
4.500000e-01	6.000000e-01	8.074490e-01	1.278141e-02	1.475938e-02
6.000000e-01	7.500000e-01	5.608700e-01	9.672446e-03	1.091056e-02
7.500000e-01	9.000000e-01	4.088140e-01	6.990146e-03	7.861603e-03
9.000000e-01	1.050000e+00	3.107050e-01	4.822598e-03	5.494410e-03
1.050000e+00	1.200000e+00	2.433570e-01	3.593445e-03	4.119574e-03
1.200000e+00	1.350000e+00	1.945540e-01	3.125404e-03	3.458308e-03
1.350000e+00	1.500000e+00	1.593660e-01	2.917180e-03	3.113454e-03
1.500000e+00	1.650000e+00	1.328450e-01	2.639781e-03	2.834908e-03
1.650000e+00	1.800000e+00	1.130030e-01	2.367354e-03	2.536354e-03
1.800000e+00	1.950000e+00	9.668200e-02	2.152118e-03	2.256965e-03
1.950000e+00	2.100000e+00	8.383020e-02	1.990457e-03	2.074889e-03
2.100000e+00	2.250000e+00	7.246910e-02	1.850763e-03	1.904337e-03
2.250000e+00	2.400000e+00	6.396940e-02	1.780325e-03	1.818952e-03
2.400000e+00	2.550000e+00	5.612790e-02	1.732801e-03	1.765136e-03
2.550000e+00	2.700000e+00	4.955200e-02	1.604318e-03	1.637921e-03
2.700000e+00	2.850000e+00	4.470860e-02	1.349492e-03	1.388307e-03
2.850000e+00	3.000000e+00	3.999630e-02	1.083620e-03	1.120065e-03
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d120-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d120-x01-y01
ScaledBy=2.84795969866436091e+05
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e-01	2.898227e+00	8.697900e-02	8.697900e-02
1.500000e-01	3.000000e-01	2.127396e+00	7.250664e-02	7.250664e-02
3.000000e-01	4.500000e-01	1.400519e+00	6.045417e-02	6.045417e-02
4.500000e-01	6.000000e-01	9.042327e-01	4.780573e-02	4.780573e-02
6.000000e-01	7.500000e-01	5.934947e-01	3.874598e-02	3.874598e-02
7.500000e-01	9.000000e-01	3.831903e-01	3.000093e-02	3.000093e-02
9.000000e-01	1.050000e+00	3.219947e-01	2.725724e-02	2.725724e-02
1.050000e+00	1.200000e+00	2.140471e-01	2.290333e-02	2.290333e-02
1.200000e+00	1.350000e+00	1.792063e-01	2.163104e-02	2.163104e-02
1.350000e+00	1.500000e+00	1.752827e-01	2.018028e-02	2.018028e-02
1.500000e+00	1.650000e+00	1.021266e-01	1.481084e-02	1.481084e-02
1.650000e+00	1.800000e+00	1.004937e-01	1.675206e-02	1.675206e-02
1.800000e+00	1.950000e+00	7.081280e-02	1.232099e-02	1.232099e-02
1.950000e+00	2.100000e+00	8.224253e-02	1.397291e-02	1.397291e-02
2.100000e+00	2.250000e+00	6.020029e-02	1.179165e-02	1.179165e-02
2.250000e+00	2.400000e+00	3.979964e-02	9.531872e-03	9.531872e-03
2.400000e+00	2.550000e+00	6.696320e-02	1.187569e-02	1.187569e-02
2.550000e+00	2.700000e+00	3.739395e-02	9.324837e-03	9.324837e-03
2.700000e+00	2.850000e+00	3.550423e-02	9.065137e-03	9.065137e-03
2.850000e+00	3.000000e+00	1.636944e-02	5.891672e-03	5.891672e-03
# END HISTO1D

