# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d124-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d124-x01-y01
XLabel=$p_{\textrm{T}}^{\textrm{rel}}$ (positive values only)
RatioPlotReference=/ATLAS_2019_I1740909/d124-x01-y01
Title=Forward jets, $2000 < p_{\textrm{T}}^{\textrm{jet}} < 2500$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d124-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d124-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d124-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d124-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e-01	2.932690e+00	1.430992e-01	1.460318e-01
1.500000e-01	3.000000e-01	2.120810e+00	8.373821e-02	8.596650e-02
3.000000e-01	4.500000e-01	1.329890e+00	5.059714e-02	5.243730e-02
4.500000e-01	6.000000e-01	8.832560e-01	4.068148e-02	4.171808e-02
6.000000e-01	7.500000e-01	6.164240e-01	3.411256e-02	3.470678e-02
7.500000e-01	9.000000e-01	4.906740e-01	2.948082e-02	2.979932e-02
9.000000e-01	1.050000e+00	3.806850e-01	2.512527e-02	2.537743e-02
1.050000e+00	1.200000e+00	3.113300e-01	2.339867e-02	2.356104e-02
1.200000e+00	1.350000e+00	2.607740e-01	2.132408e-02	2.142490e-02
1.350000e+00	1.500000e+00	2.129930e-01	1.925673e-02	1.932694e-02
1.500000e+00	1.650000e+00	1.732260e-01	1.785606e-02	1.791191e-02
1.650000e+00	1.800000e+00	1.456010e-01	1.585735e-02	1.592907e-02
1.800000e+00	1.950000e+00	1.323780e-01	1.483804e-02	1.488405e-02
1.950000e+00	2.100000e+00	1.171470e-01	1.325033e-02	1.329387e-02
2.100000e+00	2.250000e+00	1.032550e-01	1.184083e-02	1.188261e-02
2.250000e+00	2.400000e+00	9.307310e-02	1.084756e-02	1.088324e-02
2.400000e+00	2.550000e+00	8.156600e-02	8.443846e-03	8.474054e-03
2.550000e+00	2.700000e+00	7.027830e-02	6.183107e-03	6.202981e-03
2.700000e+00	2.850000e+00	6.110140e-02	4.704230e-03	4.727410e-03
2.850000e+00	3.000000e+00	5.467850e-02	4.320653e-03	4.348820e-03
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d124-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d124-x01-y01
ScaledBy=3.62377132069194838e+07
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e-01	2.713932e+00	2.182969e-01	2.182969e-01
1.500000e-01	3.000000e-01	1.837214e+00	1.762673e-01	1.762673e-01
3.000000e-01	4.500000e-01	1.461344e+00	1.598998e-01	1.598998e-01
4.500000e-01	6.000000e-01	1.057947e+00	1.362509e-01	1.362509e-01
6.000000e-01	7.500000e-01	6.704807e-01	1.100481e-01	1.100481e-01
7.500000e-01	9.000000e-01	5.365935e-01	9.954691e-02	9.954691e-02
9.000000e-01	1.050000e+00	2.705687e-01	6.626489e-02	6.626489e-02
1.050000e+00	1.200000e+00	2.272728e-01	6.255794e-02	6.255794e-02
1.200000e+00	1.350000e+00	3.071812e-01	7.943615e-02	7.943615e-02
1.350000e+00	1.500000e+00	1.612412e-01	5.430895e-02	5.430895e-02
1.500000e+00	1.650000e+00	2.140889e-01	6.044700e-02	6.044700e-02
1.650000e+00	1.800000e+00	1.234360e-01	4.488081e-02	4.488081e-02
1.800000e+00	1.950000e+00	9.341053e-02	4.016356e-02	4.016356e-02
1.950000e+00	2.100000e+00	1.347845e-01	4.889997e-02	4.889997e-02
2.100000e+00	2.250000e+00	7.955973e-02	3.960695e-02	3.960695e-02
2.250000e+00	2.400000e+00	1.254787e-01	4.925200e-02	4.925200e-02
2.400000e+00	2.550000e+00	2.362261e-02	1.790052e-02	1.790052e-02
2.550000e+00	2.700000e+00	6.494299e-02	3.570715e-02	3.570715e-02
2.700000e+00	2.850000e+00	7.620147e-02	3.336666e-02	3.336666e-02
2.850000e+00	3.000000e+00	3.391619e-02	2.685049e-02	2.685049e-02
# END HISTO1D

