# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d90-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d90-x01-y01
XLabel=$r$ 
RatioPlotReference=/ATLAS_2019_I1740909/d90-x01-y01
Title=Forward jets, $800 < p_{\textrm{T}}^{\textrm{jet}} < 900$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d90-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d90-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d90-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d90-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	5.406960e+01	1.726542e+00	1.786036e+00
2.000000e-02	4.000000e-02	1.342870e+01	2.843210e-01	3.068499e-01
4.000000e-02	6.000000e-02	5.923070e+00	9.139223e-02	1.052896e-01
6.000000e-02	8.000000e-02	3.347810e+00	4.898371e-02	5.718810e-02
8.000000e-02	1.000000e-01	2.143480e+00	2.950895e-02	3.451131e-02
1.000000e-01	1.200000e-01	1.489740e+00	1.411506e-02	1.885846e-02
1.200000e-01	1.400000e-01	1.095340e+00	9.994156e-03	1.347940e-02
1.400000e-01	1.600000e-01	8.324460e-01	7.263677e-03	1.020756e-02
1.600000e-01	1.800000e-01	6.559840e-01	5.459027e-03	7.724003e-03
1.800000e-01	2.000000e-01	5.271210e-01	4.360270e-03	6.278112e-03
2.000000e-01	2.200000e-01	4.330830e-01	3.408570e-03	5.037251e-03
2.200000e-01	2.400000e-01	3.597780e-01	2.454759e-03	3.857882e-03
2.400000e-01	2.600000e-01	3.037280e-01	1.880199e-03	3.184592e-03
2.600000e-01	2.800000e-01	2.586640e-01	1.672234e-03	2.889390e-03
2.800000e-01	3.000000e-01	2.217520e-01	1.534288e-03	2.496785e-03
3.000000e-01	3.200000e-01	1.914710e-01	1.441220e-03	2.182136e-03
3.200000e-01	3.400000e-01	1.679610e-01	1.353262e-03	2.028217e-03
3.400000e-01	3.600000e-01	1.475730e-01	1.033689e-03	1.642538e-03
3.600000e-01	3.800000e-01	1.338940e-01	2.169327e-03	2.462139e-03
3.800000e-01	4.000000e-01	1.126680e-01	2.824790e-03	2.979269e-03
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d90-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d90-x01-y01
ScaledBy=1.05034520698176813e+05
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	5.332750e+01	1.363802e+00	1.363802e+00
2.000000e-02	4.000000e-02	1.410582e+01	4.042236e-01	4.042236e-01
4.000000e-02	6.000000e-02	6.823025e+00	2.256025e-01	2.256025e-01
6.000000e-02	8.000000e-02	3.769658e+00	1.424884e-01	1.424884e-01
8.000000e-02	1.000000e-01	2.069093e+00	9.263088e-02	9.263088e-02
1.000000e-01	1.200000e-01	1.705138e+00	7.965234e-02	7.965234e-02
1.200000e-01	1.400000e-01	1.065037e+00	5.507552e-02	5.507552e-02
1.400000e-01	1.600000e-01	8.154490e-01	4.457633e-02	4.457633e-02
1.600000e-01	1.800000e-01	6.810730e-01	4.007480e-02	4.007480e-02
1.800000e-01	2.000000e-01	5.278840e-01	3.394753e-02	3.394753e-02
2.000000e-01	2.200000e-01	4.702173e-01	2.949381e-02	2.949381e-02
2.200000e-01	2.400000e-01	3.916082e-01	2.629697e-02	2.629697e-02
2.400000e-01	2.600000e-01	3.306940e-01	2.284191e-02	2.284191e-02
2.600000e-01	2.800000e-01	2.975432e-01	2.145051e-02	2.145051e-02
2.800000e-01	3.000000e-01	2.516522e-01	1.822015e-02	1.822015e-02
3.000000e-01	3.200000e-01	1.996133e-01	1.574441e-02	1.574441e-02
3.200000e-01	3.400000e-01	2.013582e-01	1.551379e-02	1.551379e-02
3.400000e-01	3.600000e-01	1.657953e-01	1.340735e-02	1.340735e-02
3.600000e-01	3.800000e-01	1.247710e-01	1.070156e-02	1.070156e-02
3.800000e-01	4.000000e-01	1.190193e-01	1.064622e-02	1.064622e-02
# END HISTO1D

