# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d39-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d39-x01-y01
XLabel=$r$ 
RatioPlotReference=/ATLAS_2019_I1740909/d39-x01-y01
Title=Inclusive jets, $1600 < p_{\textrm{T}}^{\textrm{jet}} < 2000$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d39-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d39-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d39-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d39-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	1.572490e+02	3.504748e+00	3.814294e+00
2.000000e-02	4.000000e-02	3.198050e+01	5.859939e-01	6.771747e-01
4.000000e-02	6.000000e-02	1.358850e+01	2.482333e-01	2.880433e-01
6.000000e-02	8.000000e-02	7.552530e+00	1.583861e-01	1.787847e-01
8.000000e-02	1.000000e-01	4.798240e+00	1.110160e-01	1.224111e-01
1.000000e-01	1.200000e-01	3.344200e+00	7.479004e-02	8.323160e-02
1.200000e-01	1.400000e-01	2.417500e+00	4.906484e-02	5.629302e-02
1.400000e-01	1.600000e-01	1.848930e+00	3.766820e-02	4.283840e-02
1.600000e-01	1.800000e-01	1.443210e+00	2.712304e-02	3.130003e-02
1.800000e-01	2.000000e-01	1.147120e+00	1.982324e-02	2.362455e-02
2.000000e-01	2.200000e-01	9.526620e-01	1.894284e-02	2.171995e-02
2.200000e-01	2.400000e-01	7.909360e-01	1.798956e-02	1.991285e-02
2.400000e-01	2.600000e-01	6.543330e-01	1.346751e-02	1.527635e-02
2.600000e-01	2.800000e-01	5.474530e-01	1.015915e-02	1.196092e-02
2.800000e-01	3.000000e-01	4.691130e-01	9.612421e-03	1.093318e-02
3.000000e-01	3.200000e-01	4.088200e-01	9.417418e-03	1.054352e-02
3.200000e-01	3.400000e-01	3.560640e-01	7.371524e-03	8.398858e-03
3.400000e-01	3.600000e-01	3.101550e-01	4.804501e-03	5.957719e-03
3.600000e-01	3.800000e-01	2.801840e-01	4.617121e-03	5.633076e-03
3.800000e-01	4.000000e-01	2.474590e-01	4.977855e-03	5.563663e-03
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d39-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d39-x01-y01
ScaledBy=6.74745176307130512e+06
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	1.613850e+02	4.635896e+00	4.635896e+00
2.000000e-02	4.000000e-02	3.517035e+01	1.268416e+00	1.268416e+00
4.000000e-02	6.000000e-02	1.517387e+01	6.648599e-01	6.648599e-01
6.000000e-02	8.000000e-02	7.626265e+00	3.914406e-01	3.914406e-01
8.000000e-02	1.000000e-01	4.497710e+00	2.852033e-01	2.852033e-01
1.000000e-01	1.200000e-01	2.680089e+00	1.990524e-01	1.990524e-01
1.200000e-01	1.400000e-01	2.690541e+00	1.816680e-01	1.816680e-01
1.400000e-01	1.600000e-01	1.601573e+00	1.244516e-01	1.244516e-01
1.600000e-01	1.800000e-01	1.289588e+00	1.013252e-01	1.013252e-01
1.800000e-01	2.000000e-01	1.174670e+00	9.358053e-02	9.358053e-02
2.000000e-01	2.200000e-01	8.390930e-01	7.937805e-02	7.937805e-02
2.200000e-01	2.400000e-01	7.382745e-01	6.655717e-02	6.655717e-02
2.400000e-01	2.600000e-01	6.158905e-01	5.530147e-02	5.530147e-02
2.600000e-01	2.800000e-01	3.976397e-01	4.182838e-02	4.182838e-02
2.800000e-01	3.000000e-01	4.902588e-01	4.985144e-02	4.985144e-02
3.000000e-01	3.200000e-01	3.798872e-01	3.926026e-02	3.926026e-02
3.200000e-01	3.400000e-01	3.196529e-01	3.445814e-02	3.445814e-02
3.400000e-01	3.600000e-01	2.578464e-01	3.372778e-02	3.372778e-02
3.600000e-01	3.800000e-01	2.436712e-01	3.103000e-02	3.103000e-02
3.800000e-01	4.000000e-01	1.997619e-01	3.001825e-02	3.001825e-02
# END HISTO1D

