# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d110-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d110-x01-y01
XLabel=$\zeta$ 
RatioPlotReference=/ATLAS_2019_I1740909/d110-x01-y01
Title=Forward jets, $2000 < p_{\textrm{T}}^{\textrm{jet}} < 2500$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d110-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d110-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogX=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d110-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d110-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.004860e-04	3.007290e-04	3.971940e-01	3.588970e-02	3.770753e-02
3.007290e-04	4.510930e-04	7.796170e-01	3.533466e-02	3.635275e-02
4.510930e-04	6.766390e-04	9.940940e-01	5.927711e-02	6.022082e-02
6.766390e-04	1.014960e-03	1.301240e+00	8.439988e-02	8.523742e-02
1.014960e-03	1.522440e-03	1.515840e+00	1.305264e-01	1.312314e-01
1.522440e-03	2.283660e-03	1.724370e+00	1.342294e-01	1.355354e-01
2.283660e-03	3.425490e-03	2.000790e+00	8.776975e-02	8.945562e-02
3.425490e-03	5.138230e-03	2.029470e+00	1.102741e-01	1.118114e-01
5.138230e-03	7.707350e-03	2.032550e+00	1.456402e-01	1.469472e-01
7.707350e-03	1.156100e-02	1.966300e+00	1.357912e-01	1.366751e-01
1.156100e-02	1.734150e-02	1.827050e+00	1.120414e-01	1.129698e-01
1.734150e-02	2.601230e-02	1.575230e+00	9.733522e-02	9.849759e-02
2.601230e-02	3.901840e-02	1.295400e+00	8.307061e-02	8.403360e-02
3.901840e-02	5.852770e-02	1.061600e+00	5.765049e-02	5.844853e-02
5.852770e-02	8.779150e-02	8.429580e-01	3.626032e-02	3.704715e-02
8.779145e-02	1.316869e-01	6.254160e-01	2.623936e-02	2.710715e-02
1.316870e-01	1.975310e-01	4.469570e-01	1.977622e-02	2.054176e-02
1.975310e-01	2.962960e-01	2.877970e-01	1.587356e-02	1.633958e-02
2.962960e-01	4.444440e-01	1.581670e-01	1.205402e-02	1.226953e-02
4.444440e-01	6.666670e-01	6.355350e-02	7.289375e-03	7.358974e-03
6.666670e-01	1.000000e+00	1.106840e-02	1.731108e-03	1.742009e-03
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d110-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d110-x01-y01
ScaledBy=3.62377132069194838e+07
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
2.004860e-04	3.007290e-04	3.465593e-01	7.652688e-02	7.652688e-02
3.007290e-04	4.510930e-04	8.015995e-01	1.151903e-01	1.151903e-01
4.510930e-04	6.766390e-04	1.018652e+00	1.311611e-01	1.311611e-01
6.766390e-04	1.014960e-03	1.087554e+00	1.370176e-01	1.370176e-01
1.014960e-03	1.522440e-03	1.401075e+00	1.552996e-01	1.552996e-01
1.522440e-03	2.283660e-03	1.811945e+00	1.775805e-01	1.775805e-01
2.283660e-03	3.425490e-03	1.798830e+00	1.760605e-01	1.760605e-01
3.425490e-03	5.138230e-03	2.075268e+00	1.871092e-01	1.871092e-01
5.138230e-03	7.707350e-03	1.759313e+00	1.767165e-01	1.767165e-01
7.707350e-03	1.156100e-02	1.794734e+00	1.753658e-01	1.753658e-01
1.156100e-02	1.734150e-02	1.788871e+00	1.782796e-01	1.782796e-01
1.734150e-02	2.601230e-02	1.508894e+00	1.616801e-01	1.616801e-01
2.601230e-02	3.901840e-02	1.304755e+00	1.520166e-01	1.520166e-01
3.901840e-02	5.852770e-02	1.099204e+00	1.422080e-01	1.422080e-01
5.852770e-02	8.779150e-02	6.619899e-01	1.043445e-01	1.043445e-01
8.779145e-02	1.316869e-01	5.607000e-01	9.939162e-02	9.939162e-02
1.316870e-01	1.975310e-01	5.792353e-01	1.019775e-01	1.019775e-01
1.975310e-01	2.962960e-01	2.839934e-01	6.953035e-02	6.953035e-02
2.962960e-01	4.444440e-01	1.681206e-01	5.263150e-02	5.263150e-02
4.444440e-01	6.666670e-01	5.139257e-02	3.211850e-02	3.211850e-02
6.666670e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

