# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d175-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d175-x01-y01
XLabel=$p_{\textrm{T}}^{\textrm{rel}}$ (positive values only)
RatioPlotReference=/ATLAS_2019_I1740909/d175-x01-y01
Title=Central jets, $900 < p_{\textrm{T}}^{\textrm{jet}} < 1000$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d175-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d175-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d175-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d175-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e-01	2.852210e+00	3.282637e-02	4.290393e-02
1.500000e-01	3.000000e-01	2.020050e+00	1.975031e-02	2.791149e-02
3.000000e-01	4.500000e-01	1.265940e+00	1.284040e-02	1.807116e-02
4.500000e-01	6.000000e-01	8.331270e-01	9.662799e-03	1.275879e-02
6.000000e-01	7.500000e-01	5.762620e-01	8.085680e-03	9.814145e-03
7.500000e-01	9.000000e-01	4.206880e-01	6.693435e-03	7.666964e-03
9.000000e-01	1.050000e+00	3.193940e-01	5.089189e-03	5.810884e-03
1.050000e+00	1.200000e+00	2.488560e-01	3.747258e-03	4.350058e-03
1.200000e+00	1.350000e+00	1.991680e-01	2.989855e-03	3.485518e-03
1.350000e+00	1.500000e+00	1.621010e-01	2.642621e-03	2.997896e-03
1.500000e+00	1.650000e+00	1.350790e-01	2.528844e-03	2.829671e-03
1.650000e+00	1.800000e+00	1.142430e-01	2.433712e-03	2.655656e-03
1.800000e+00	1.950000e+00	9.700470e-02	2.226873e-03	2.405947e-03
1.950000e+00	2.100000e+00	8.330650e-02	1.984854e-03	2.117423e-03
2.100000e+00	2.250000e+00	7.261130e-02	1.808902e-03	1.914547e-03
2.250000e+00	2.400000e+00	6.336690e-02	1.698589e-03	1.798424e-03
2.400000e+00	2.550000e+00	5.549380e-02	1.618746e-03	1.703455e-03
2.550000e+00	2.700000e+00	4.900070e-02	1.484931e-03	1.543599e-03
2.700000e+00	2.850000e+00	4.403150e-02	1.369829e-03	1.411432e-03
2.850000e+00	3.000000e+00	3.854180e-02	1.303378e-03	1.335120e-03
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d175-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d175-x01-y01
ScaledBy=2.13321738720255904e+05
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e-01	2.984643e+00	9.609051e-02	9.609051e-02
1.500000e-01	3.000000e-01	2.068903e+00	7.951763e-02	7.951763e-02
3.000000e-01	4.500000e-01	1.239995e+00	6.334422e-02	6.334422e-02
4.500000e-01	6.000000e-01	8.804453e-01	5.235451e-02	5.235451e-02
6.000000e-01	7.500000e-01	6.226186e-01	4.542093e-02	4.542093e-02
7.500000e-01	9.000000e-01	4.147011e-01	3.569831e-02	3.569831e-02
9.000000e-01	1.050000e+00	3.523944e-01	3.299444e-02	3.299444e-02
1.050000e+00	1.200000e+00	2.526543e-01	2.837500e-02	2.837500e-02
1.200000e+00	1.350000e+00	2.108211e-01	2.662488e-02	2.662488e-02
1.350000e+00	1.500000e+00	1.436471e-01	2.319033e-02	2.319033e-02
1.500000e+00	1.650000e+00	1.428501e-01	2.125703e-02	2.125703e-02
1.650000e+00	1.800000e+00	1.461606e-01	2.162596e-02	2.162596e-02
1.800000e+00	1.950000e+00	9.958680e-02	1.642137e-02	1.642137e-02
1.950000e+00	2.100000e+00	9.628067e-02	1.859514e-02	1.859514e-02
2.100000e+00	2.250000e+00	5.811250e-02	1.271382e-02	1.271382e-02
2.250000e+00	2.400000e+00	7.805773e-02	1.523934e-02	1.523934e-02
2.400000e+00	2.550000e+00	4.807852e-02	1.165610e-02	1.165610e-02
2.550000e+00	2.700000e+00	6.235011e-02	1.524615e-02	1.524615e-02
2.700000e+00	2.850000e+00	1.751135e-02	6.434149e-03	6.434149e-03
2.850000e+00	3.000000e+00	3.878513e-02	1.038310e-02	1.038310e-02
# END HISTO1D

