# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d52-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d52-x01-y01
XLabel=$\zeta$ 
RatioPlotReference=/ATLAS_2019_I1740909/d52-x01-y01
Title=Inclusive jets, $1400 < p_{\textrm{T}}^{\textrm{jet}} < 1600$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d52-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d52-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d52-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d52-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.007290e-04	4.510930e-04	9.086550e-01	4.213531e-02	4.310894e-02
4.510930e-04	6.766390e-04	1.686400e+00	7.037828e-02	7.242765e-02
6.766390e-04	1.014960e-03	2.184210e+00	4.024819e-02	4.554654e-02
1.014960e-03	1.522440e-03	2.732440e+00	3.802124e-02	4.717527e-02
1.522440e-03	2.283660e-03	3.212140e+00	5.535559e-02	6.464551e-02
2.283660e-03	3.425490e-03	3.603160e+00	5.420409e-02	6.547840e-02
3.425490e-03	5.138230e-03	3.894610e+00	5.928710e-02	7.072912e-02
5.138230e-03	7.707350e-03	3.975560e+00	6.601551e-02	7.681599e-02
7.707350e-03	1.156100e-02	3.871020e+00	6.523942e-02	7.609988e-02
1.156100e-02	1.734150e-02	3.649430e+00	5.247332e-02	6.307404e-02
1.734150e-02	2.601230e-02	3.248350e+00	4.627418e-02	5.598149e-02
2.601230e-02	3.901840e-02	2.795830e+00	4.084633e-02	4.806835e-02
3.901840e-02	5.852770e-02	2.278220e+00	3.358069e-02	3.856945e-02
5.852770e-02	8.779150e-02	1.788740e+00	2.569530e-02	3.005672e-02
8.779145e-02	1.316869e-01	1.311040e+00	1.998613e-02	2.377071e-02
1.316870e-01	1.975310e-01	8.878210e-01	1.601913e-02	1.838161e-02
1.975310e-01	2.962960e-01	5.376160e-01	1.136767e-02	1.310905e-02
2.962960e-01	4.444440e-01	2.818460e-01	6.912246e-03	7.954304e-03
4.444440e-01	6.666670e-01	1.091740e-01	3.279733e-03	3.680797e-03
6.666670e-01	1.000000e+00	1.849830e-02	7.166971e-04	7.774927e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d52-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2019_I1740909/d52-x01-y01
ScaledBy=3.24732579066276690e+06
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
3.007290e-04	4.510930e-04	7.932018e-01	7.401464e-02	7.401464e-02
4.510930e-04	6.766390e-04	1.598668e+00	1.272265e-01	1.272265e-01
6.766390e-04	1.014960e-03	2.215699e+00	1.438832e-01	1.438832e-01
1.014960e-03	1.522440e-03	2.847411e+00	1.626008e-01	1.626008e-01
1.522440e-03	2.283660e-03	3.461475e+00	2.106770e-01	2.106770e-01
2.283660e-03	3.425490e-03	3.533642e+00	2.068431e-01	2.068431e-01
3.425490e-03	5.138230e-03	4.288909e+00	2.300196e-01	2.300196e-01
5.138230e-03	7.707350e-03	3.907427e+00	2.071096e-01	2.071096e-01
7.707350e-03	1.156100e-02	4.456334e+00	2.439501e-01	2.439501e-01
1.156100e-02	1.734150e-02	3.636601e+00	2.095923e-01	2.095923e-01
1.734150e-02	2.601230e-02	3.349851e+00	1.811806e-01	1.811806e-01
2.601230e-02	3.901840e-02	3.032436e+00	1.921614e-01	1.921614e-01
3.901840e-02	5.852770e-02	2.492565e+00	1.553790e-01	1.553790e-01
5.852770e-02	8.779150e-02	1.614846e+00	1.112843e-01	1.112843e-01
8.779145e-02	1.316869e-01	1.306221e+00	1.137485e-01	1.137485e-01
1.316870e-01	1.975310e-01	8.531446e-01	8.293903e-02	8.293903e-02
1.975310e-01	2.962960e-01	5.365646e-01	6.283084e-02	6.283084e-02
2.962960e-01	4.444440e-01	3.367232e-01	4.893598e-02	4.893598e-02
4.444440e-01	6.666670e-01	9.197459e-02	2.741118e-02	2.741118e-02
6.666670e-01	1.000000e+00	6.066219e-03	6.066220e-03	6.066220e-03
# END HISTO1D

