# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d45-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d45-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d45-x01-y01 //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d45-x01-y01
Title=Aplanarity for $n^{\mathrm{jet}} = 3$, $H_{T2} >$ 2.0 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d45-x01-y01
RatioPlot=1
LogY=1
XLabel=$A$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/dA$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d45-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d45-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	2.301280e+01	2.263420e-01	2.215202e-01
1.000000e-02	2.000000e-02	6.886210e+00	8.107649e-02	7.837431e-02
2.000000e-02	3.000000e-02	3.896330e+00	4.788465e-02	4.626132e-02
3.000000e-02	4.000000e-02	2.475650e+00	3.354325e-02	3.256191e-02
4.000000e-02	5.000000e-02	1.656670e+00	2.414377e-02	2.350312e-02
5.000000e-02	6.000000e-02	1.100890e+00	1.746527e-02	1.705506e-02
6.000000e-02	7.000000e-02	7.444420e-01	1.255523e-02	1.228125e-02
7.000000e-02	8.000000e-02	5.047030e-01	1.063678e-02	1.048099e-02
8.000000e-02	9.000000e-02	3.605270e-01	8.206244e-03	8.097745e-03
9.000000e-02	1.000000e-01	2.733570e-01	6.217748e-03	6.130749e-03
1.000000e-01	1.100000e-01	1.868410e-01	5.204711e-03	5.153357e-03
1.100000e-01	1.200000e-01	1.405590e-01	4.438559e-03	4.402328e-03
1.200000e-01	1.400000e-01	9.404440e-02	2.844049e-03	2.816527e-03
1.400000e-01	1.600000e-01	5.627110e-02	1.978485e-03	1.963858e-03
1.600000e-01	1.800000e-01	3.399270e-02	1.395712e-03	1.387957e-03
1.800000e-01	2.000000e-01	2.119230e-02	1.234086e-03	1.230630e-03
2.000000e-01	2.200000e-01	1.282260e-02	8.723941e-04	8.706026e-04
2.200000e-01	2.400000e-01	7.119530e-03	6.418541e-04	6.411168e-04
2.400000e-01	2.600000e-01	4.547340e-03	5.105481e-04	5.101858e-04
2.600000e-01	2.800000e-01	2.800250e-03	3.763078e-04	3.761354e-04
2.800000e-01	3.100000e-01	1.910210e-03	3.411501e-04	3.410688e-04
3.100000e-01	4.000000e-01	4.024220e-04	9.393037e-05	9.392196e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d45-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1808726/d45-x01-y01
ScaledBy=2.04476505276740034e+05
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	1.908795e+01	1.645099e+00	1.645099e+00
1.000000e-02	2.000000e-02	3.372946e+00	6.003797e-01	6.003797e-01
2.000000e-02	3.000000e-02	2.823865e+00	5.643465e-01	5.643465e-01
3.000000e-02	4.000000e-02	2.700643e+00	6.901649e-01	6.901649e-01
4.000000e-02	5.000000e-02	9.342436e-01	3.472434e-01	3.472434e-01
5.000000e-02	6.000000e-02	3.567978e-01	1.874023e-01	1.874023e-01
6.000000e-02	7.000000e-02	7.413559e-01	3.152850e-01	3.152850e-01
7.000000e-02	8.000000e-02	2.977376e-01	1.648565e-01	1.648565e-01
8.000000e-02	9.000000e-02	5.579018e-01	2.568739e-01	2.568739e-01
9.000000e-02	1.000000e-01	4.695943e-01	3.060470e-01	3.060470e-01
1.000000e-01	1.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e-01	1.200000e-01	2.188761e-01	1.618562e-01	1.618562e-01
1.200000e-01	1.400000e-01	1.246113e-01	1.146766e-01	1.146766e-01
1.400000e-01	1.600000e-01	1.489782e-01	1.106400e-01	1.106400e-01
1.600000e-01	1.800000e-01	9.518960e-02	9.518963e-02	9.518963e-02
1.800000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	2.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e-01	2.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e-01	3.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.100000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

