# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d50-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d50-x01-y01
XLabel=$\zeta$ 
RatioPlotReference=/ATLAS_2019_I1740909/d50-x01-y01
Title=Inclusive jets, $1000 < p_{\textrm{T}}^{\textrm{jet}} < 1200$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d50-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d50-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d50-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d50-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.007290e-04	4.510930e-04	3.216690e-02	1.082443e-03	1.142386e-03
4.510930e-04	6.766390e-04	1.259960e+00	3.952574e-02	4.143162e-02
6.766390e-04	1.014960e-03	1.854260e+00	3.975275e-02	4.360552e-02
1.014960e-03	1.522440e-03	2.374720e+00	2.311677e-02	3.303882e-02
1.522440e-03	2.283660e-03	2.899940e+00	4.223011e-02	5.209577e-02
2.283660e-03	3.425490e-03	3.349060e+00	3.998138e-02	5.340351e-02
3.425490e-03	5.138230e-03	3.673580e+00	4.154929e-02	5.545646e-02
5.138230e-03	7.707350e-03	3.854020e+00	5.400892e-02	6.569583e-02
7.707350e-03	1.156100e-02	3.861220e+00	6.110621e-02	7.052056e-02
1.156100e-02	1.734150e-02	3.677800e+00	5.526604e-02	6.516985e-02
1.734150e-02	2.601230e-02	3.336800e+00	3.617925e-02	4.699808e-02
2.601230e-02	3.901840e-02	2.885720e+00	3.116622e-02	3.981702e-02
3.901840e-02	5.852770e-02	2.371720e+00	2.583182e-02	3.139968e-02
5.852770e-02	8.779150e-02	1.837150e+00	1.908027e-02	2.420235e-02
8.779145e-02	1.316869e-01	1.345140e+00	1.458657e-02	1.867577e-02
1.316870e-01	1.975310e-01	8.979620e-01	1.309871e-02	1.602840e-02
1.975310e-01	2.962960e-01	5.336340e-01	1.016845e-02	1.247517e-02
2.962960e-01	4.444440e-01	2.697700e-01	6.159309e-03	7.661385e-03
4.444440e-01	6.666670e-01	1.030300e-01	2.856892e-03	3.426854e-03
6.666670e-01	1.000000e+00	1.764610e-02	6.498274e-04	7.310533e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d50-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d50-x01-y01
ScaledBy=1.00000000000000000e+00
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
3.007290e-04	4.510930e-04	0.000000e+00	0.000000e+00	0.000000e+00
4.510930e-04	6.766390e-04	0.000000e+00	0.000000e+00	0.000000e+00
6.766390e-04	1.014960e-03	0.000000e+00	0.000000e+00	0.000000e+00
1.014960e-03	1.522440e-03	0.000000e+00	0.000000e+00	0.000000e+00
1.522440e-03	2.283660e-03	0.000000e+00	0.000000e+00	0.000000e+00
2.283660e-03	3.425490e-03	0.000000e+00	0.000000e+00	0.000000e+00
3.425490e-03	5.138230e-03	0.000000e+00	0.000000e+00	0.000000e+00
5.138230e-03	7.707350e-03	0.000000e+00	0.000000e+00	0.000000e+00
7.707350e-03	1.156100e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.156100e-02	1.734150e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.734150e-02	2.601230e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.601230e-02	3.901840e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.901840e-02	5.852770e-02	0.000000e+00	0.000000e+00	0.000000e+00
5.852770e-02	8.779150e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.779145e-02	1.316869e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.316870e-01	1.975310e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.975310e-01	2.962960e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.962960e-01	4.444440e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.444440e-01	6.666670e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.666670e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

