# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d119-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d119-x01-y01
XLabel=$p_{\textrm{T}}^{\textrm{rel}}$ (positive values only)
RatioPlotReference=/ATLAS_2019_I1740909/d119-x01-y01
Title=Forward jets, $900 < p_{\textrm{T}}^{\textrm{jet}} < 1000$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d119-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d119-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d119-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d119-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e-01	2.736060e+00	4.975918e-02	5.605950e-02
1.500000e-01	3.000000e-01	1.945880e+00	3.037769e-02	3.511225e-02
3.000000e-01	4.500000e-01	1.210280e+00	1.938000e-02	2.232205e-02
4.500000e-01	6.000000e-01	7.918250e-01	1.409021e-02	1.583324e-02
6.000000e-01	7.500000e-01	5.459760e-01	1.097031e-02	1.192537e-02
7.500000e-01	9.000000e-01	3.945120e-01	7.987905e-03	8.602687e-03
9.000000e-01	1.050000e+00	2.967610e-01	5.253026e-03	5.806120e-03
1.050000e+00	1.200000e+00	2.326400e-01	3.589814e-03	4.118985e-03
1.200000e+00	1.350000e+00	1.861110e-01	2.759221e-03	3.182997e-03
1.350000e+00	1.500000e+00	1.517570e-01	2.424328e-03	2.803386e-03
1.500000e+00	1.650000e+00	1.265300e-01	2.423454e-03	2.692544e-03
1.650000e+00	1.800000e+00	1.053670e-01	2.257754e-03	2.451484e-03
1.800000e+00	1.950000e+00	9.052410e-02	1.979188e-03	2.131584e-03
1.950000e+00	2.100000e+00	7.777650e-02	1.748632e-03	1.876604e-03
2.100000e+00	2.250000e+00	6.699170e-02	1.615062e-03	1.714991e-03
2.250000e+00	2.400000e+00	5.917190e-02	1.541492e-03	1.628719e-03
2.400000e+00	2.550000e+00	5.198210e-02	1.466895e-03	1.539384e-03
2.550000e+00	2.700000e+00	4.576340e-02	1.384848e-03	1.462085e-03
2.700000e+00	2.850000e+00	4.064150e-02	1.329131e-03	1.407428e-03
2.850000e+00	3.000000e+00	3.646980e-02	1.275734e-03	1.345330e-03
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d119-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d119-x01-y01
ScaledBy=1.00000000000000000e+00
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	7.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e-01	9.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-01	1.050000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+00	1.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+00	1.350000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.350000e+00	1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+00	1.650000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.650000e+00	1.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+00	1.950000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.950000e+00	2.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.100000e+00	2.250000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.250000e+00	2.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+00	2.550000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.550000e+00	2.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+00	2.850000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.850000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

