# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d169-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d169-x01-y01
XLabel=$p_{\textrm{T}}^{\textrm{rel}}$
RatioPlotReference=/ATLAS_2019_I1740909/d169-x01-y01
Title=Central jets, $300 < p_{\textrm{T}}^{\textrm{jet}} < 400$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d169-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d169-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d169-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d169-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e-01	2.531430e+00	8.981902e-02	9.251823e-02
1.500000e-01	3.000000e-01	1.751880e+00	3.212030e-02	3.597369e-02
3.000000e-01	4.500000e-01	1.039500e+00	9.309914e-03	1.322569e-02
4.500000e-01	6.000000e-01	6.462340e-01	9.012151e-03	1.070234e-02
6.000000e-01	7.500000e-01	4.249600e-01	7.493404e-03	8.370230e-03
7.500000e-01	9.000000e-01	2.913130e-01	4.014686e-03	4.751661e-03
9.000000e-01	1.050000e+00	2.091030e-01	2.217058e-03	2.872041e-03
1.050000e+00	1.200000e+00	1.559570e-01	2.034148e-03	2.506236e-03
1.200000e+00	1.350000e+00	1.192050e-01	1.999383e-03	2.310423e-03
1.350000e+00	1.500000e+00	9.355330e-02	1.764173e-03	1.993460e-03
1.500000e+00	1.650000e+00	7.445420e-02	1.422998e-03	1.604064e-03
1.650000e+00	1.800000e+00	6.011980e-02	1.096654e-03	1.231988e-03
1.800000e+00	1.950000e+00	4.920090e-02	8.467685e-04	9.722476e-04
1.950000e+00	2.100000e+00	4.069530e-02	7.375000e-04	8.522733e-04
2.100000e+00	2.250000e+00	3.408170e-02	7.057222e-04	7.984940e-04
2.250000e+00	2.400000e+00	2.879000e-02	6.771291e-04	7.606498e-04
2.400000e+00	2.550000e+00	2.426260e-02	5.998373e-04	6.727382e-04
2.550000e+00	2.700000e+00	2.122550e-02	5.604104e-04	6.201928e-04
2.700000e+00	2.850000e+00	1.778360e-02	5.923388e-04	6.340828e-04
2.850000e+00	3.000000e+00	1.537250e-02	6.647048e-04	6.947267e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d169-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d169-x01-y01
ScaledBy=1.00000000000000000e+00
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	7.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e-01	9.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-01	1.050000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+00	1.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+00	1.350000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.350000e+00	1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+00	1.650000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.650000e+00	1.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+00	1.950000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.950000e+00	2.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.100000e+00	2.250000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.250000e+00	2.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+00	2.550000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.550000e+00	2.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+00	2.850000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.850000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

